x,y
5.738522661,9.786944943
4.485239509,10.68633455
3.359818658,5.352424371
5.916036785,11.8106845
3.732518026,4.656706968
5.738247769,14.26004875
4.217377232,9.471764323
5.509295936,11.94467721
3.510060918,8.112301414
4.6808207,4.083449908
4.762088907,7.444882336
6.618622892,12.96488881
3.882398892,6.774217372
5.234002784,8.874180763
5.316151572,13.07689844
5.370768586,8.958994226
5.877588569,11.67961895
3.231676474,5.757926162
4.672873582,5.243282616
2.736774779,3.399408113
5.285560504,11.74823679
5.968428575,13.55731943
5.867306605,6.529009536
6.378134982,9.439104265
4.191740432,8.874371007
4.487846829,10.24953906
3.196028159,4.977869156
5.040629968,9.370193334
7.6360165,13.78327476
3.384000773,4.772727815
4.065440705,10.16901201
5.630385686,13.70061459
5.760759982,15.91302458
4.488377231,11.17404473
6.001907499,12.38222528
4.616607814,6.150422028
4.522862714,8.648558159
5.254207713,11.95939557
3.836508257,10.69339237
4.562060631,8.889982569
3.275864266,6.106385372
6.725146695,14.66034953
5.092155103,11.87380545
5.07311485,9.841313688
5.640147827,7.559370244
5.206126977,12.6021506
5.86320623,14.87772041
5.13977752,10.95242013
4.771905212,8.909225181
4.680171877,7.556099357
4.947052617,8.922208649
4.763601599,9.420711917
4.662036492,8.369199756
4.244515333,5.782367267
4.138406525,12.27407115
4.472334511,7.322083551
4.21003276,6.176955992
5.949516423,12.30431889
5.028607894,10.40114648
5.819787684,12.42806665
3.999459599,5.254311174
4.239642544,6.751492582
5.444241841,11.39601025
6.738685595,14.0963207
4.224797073,4.1937191
3.817436422,6.419482706
4.685971463,6.546402903
4.606583643,9.651974942
5.559903633,13.21057384
4.750257115,9.337129533
5.644136742,11.71546936
5.590325369,9.413507351
4.715705562,9.784925734
6.347117649,10.61032107
7.375446968,13.68505385
5.138737968,12.32099689
4.170867483,7.486848575
4.877035825,11.7958007
5.482505579,11.92159704
4.819610889,9.112025948
3.929780095,7.476575011
4.929448797,11.03271956
6.288619218,11.72419777
4.849788643,7.889199411
4.447300676,8.20237221
4.358772025,9.587862698
4.754305913,7.160116225
4.994694443,10.14161914
4.627611538,8.981716319
6.158561312,6.985379438
5.671469411,10.87992907
4.334130564,10.53245334
4.18525663,7.781039144
4.697514094,8.217465221
4.750290567,10.58708018
4.970928683,10.17905573
5.025627425,9.497131023
4.241574882,7.486033749
4.380147871,11.04979751
4.373103219,5.531682078
